Reel,Comment,TextBlob,LLM_Groq,Agreement
Reel4_Hanuman,Jai shree Ram ji Jai Hanuman ji ki Jai,Neutral,Positive,DISAGREE
Reel4_Hanuman,जय बजरंग बली ❤️,Positive,Positive,AGREE
Reel5_Mera_bhi,Good boy,Positive,Positive,AGREE
Reel5_Mera_bhi,Very nice,Positive,Positive,AGREE
Reel5_Mera_bhi,Jay Shri Ram 🙏🙏🙏,Positive,Positive,AGREE
Reel5_Mera_bhi,All script bro's can anyone post against them 😂,Neutral,Negative,DISAGREE
Reel5_Mera_bhi,Ab pata chala pappu aur Ram virodhi yo ko adani Ambani se kyu nafrat hai,Neutral,Negative,DISAGREE
Reel5_Mera_bhi,मुझे 10 लाख रुपया दे दीजिए एमपी झाबुआ जिला मध...,Neutral,Negative,DISAGREE
Reel5_Mera_bhi,good very good very nice excellent wah wah kya vichar hai,Positive,Positive,AGREE
Reel5_Mera_bhi,So cute so good,Positive,Positive,AGREE
Reel5_Mera_bhi,Nice,Positive,Positive,AGREE
Reel6_Apne_jaise,Thank you for such a beautiful and meaningful message.,Positive,Positive,AGREE
Reel6_Apne_jaise,क्या बात है! धर्म के प्रति ऐसी भावना देखकर खुशी होती है।,Neutral,Positive,DISAGREE
Reel6_Apne_jaise,A beautiful journey through Hindu beliefs.,Positive,Positive,AGREE
Reel6_Apne_jaise,Amazing insights into divine love and family.,Positive,Positive,AGREE
Reel6_Apne_jaise,Business kaise chalega,Neutral,Neutral,AGREE
Reel6_Apne_jaise,इतना सही बोला आपने,Neutral,Positive,DISAGREE
Reel6_Apne_jaise,एको करोड़ दान करदो सर मुझे भी,Neutral,Negative,DISAGREE
Reel6_Apne_jaise,Incredible understanding of Hindu values.,Positive,Positive,AGREE
Reel6_Apne_jaise,A perfect explanation of complex concepts.,Positive,Positive,AGREE
Reel6_Apne_jaise,Jai Shri Ram 🙏,Positive,Positive,AGREE
